"Date","Title","Dev Gross","Paying share","ARPPU","New paying users","Paying users","DAU"
"21.07.2017",,196830,0.957,21,3162,8388,876235
,"Guns of Boom",55852,0.299,43,1952,1227,410645
,"Airport City",35358,1.515,19,421,1745,115175
,"Mirrors of Albion",24632,2.686,17,121,1357,50528
,"The Tribez",68615,1.335,18,497,3302,247402
,"Paradise Island 2",12070,1.434,17,162,730,50889
,"Mystery Manor",303,1.692,12,9,27,1596
"22.07.2017",,191831,0.957,21,4040,8804,920216
,"Guns of Boom",62504,0.343,41,2553,1529,445872
,"Airport City",32907,1.423,19,471,1659,116618
,"Mirrors of Albion",17781,2.336,15,121,1186,50770
,"The Tribez",66344,1.436,17,684,3651,254199
,"Paradise Island 2",12104,1.474,16,205,755,51206
,"Mystery Manor",192,1.547,8,6,24,1551
"23.07.2017",,190279,0.913,21,4015,8476,928289
,"Guns of Boom",60768,0.329,41,2415,1451,441356
,"Airport City",34952,1.408,20,441,1672,118755
,"Mirrors of Albion",26490,2.464,20,128,1291,52396
,"The Tribez",59637,1.269,16,787,3329,262279
,"Paradise Island 2",8109,1.357,11,239,705,51940
,"Mystery Manor",323,1.791,13,5,28,1563
"24.07.2017",,151385,0.817,20,3484,7516,919966
,"Guns of Boom",53876,0.315,39,2192,1357,430794
,"Airport City",28919,1.142,20,374,1338,117214
,"Mirrors of Albion",13142,1.845,13,106,972,52686
,"The Tribez",46394,1.173,15,551,3097,263967
,"Paradise Island 2",8853,1.366,12,257,734,53722
,"Mystery Manor",201,1.137,13,4,18,1583
"25.07.2017",,144317,0.792,19,3579,7283,919743
,"Guns of Boom",56951,0.331,40,2278,1421,429009
,"Airport City",32047,1.392,19,357,1611,115764
,"Mirrors of Albion",12011,1.976,11,113,1051,53188
,"The Tribez",31216,0.874,13,589,2326,266182
,"Paradise Island 2",11788,1.577,14,238,852,54030
,"Mystery Manor",304,1.401,15,4,22,1570
"26.07.2017",,165708,1.087,16,3663,10065,926211
,"Guns of Boom",58797,0.317,43,2173,1368,431975
,"Airport City",31641,1.33,19,337,1527,114836
,"Mirrors of Albion",10227,2.077,9,146,1103,53109
,"The Tribez",42169,1.752,8,719,4759,271574
,"Paradise Island 2",22759,2.43,17,284,1292,53160
,"Mystery Manor",116,1.028,9,4,16,1557
"27.07.2017",,161079,0.906,18,3732,8404,927139
,"Guns of Boom",55815,0.326,39,2240,1398,428450
,"Airport City",31196,1.268,19,341,1457,114934
,"Mirrors of Albion",11802,2.034,12,116,1078,52989
,"The Tribez",38013,1.134,11,745,3129,275933
,"Paradise Island 2",24056,2.474,18,285,1318,53267
,"Mystery Manor",197,1.533,9,5,24,1566
"28.07.2017",,305765,1.186,26,3723,10969,924947
,"Guns of Boom",63087,0.334,44,2121,1416,423496
,"Airport City",125877,2.812,35,447,3261,115967
,"Mirrors of Albion",12766,1.876,13,120,991,52827
,"The Tribez",73876,1.362,18,773,3808,279617
,"Paradise Island 2",29931,2.861,20,258,1474,51521
,"Mystery Manor",228,1.251,14,4,19,1519
"29.07.2017",,258770,1.121,24,3698,10356,923465
,"Guns of Boom",59118,0.308,45,1971,1306,423819
,"Airport City",76977,2.025,29,426,2312,114147
,"Mirrors of Albion",26711,2.56,20,127,1355,52920
,"The Tribez",68417,1.399,16,916,3918,280041
,"Paradise Island 2",27196,2.807,19,251,1433,51046
,"Mystery Manor",351,2.145,13,7,32,1492
"30.07.2017",,239421,1.093,22,3882,10131,927051
,"Guns of Boom",57106,0.328,41,1995,1365,416227
,"Airport City",78762,2.245,27,538,2595,115566
,"Mirrors of Albion",19335,2.102,17,137,1156,54989
,"The Tribez",54712,1.236,15,877,3545,286762
,"Paradise Island 2",29266,2.77,20,328,1441,52024
,"Mystery Manor",240,1.955,9,7,29,1483
"31.07.2017",,153104,0.775,21,3292,7064,911355
,"Guns of Boom",55009,0.314,43,1892,1259,401518
,"Airport City",29023,0.983,23,318,1111,113013
,"Mirrors of Albion",16684,1.905,16,123,1049,55053
,"The Tribez",40470,0.952,14,729,2741,287914
,"Paradise Island 2",11727,1.688,13,226,885,52439
,"Mystery Manor",190,1.34,11,4,19,1418
"01.08.2017",,140479,0.739,20,3428,6768,915470
,"Guns of Boom",55957,0.329,42,1930,1325,403257
,"Airport City",29624,1.287,20,411,1447,112442
,"Mirrors of Albion",10937,1.648,12,142,923,56011
,"The Tribez",33168,0.769,13,711,2228,289842
,"Paradise Island 2",10234,1.519,13,224,797,52459
,"Mystery Manor",559,3.29,13,10,48,1459
"02.08.2017",,148369,1.054,15,3373,9652,915877
,"Guns of Boom",51599,0.328,39,1908,1313,400542
,"Airport City",29616,1.29,23,403,1456,112885
,"Mirrors of Albion",11341,1.801,11,141,1026,56966
,"The Tribez",46753,1.759,8,721,5128,291461
,"Paradise Island 2",8737,1.322,12,191,694,52485
,"Mystery Manor",323,2.276,11,9,35,1538
"03.08.2017",,131686,0.763,18,3154,7365,965053
,"Guns of Boom",50314,0.303,37,1815,1358,448160
,"Airport City",24826,1.107,19,322,1257,113600
,"Mirrors of Albion",11229,2.038,10,142,1162,57006
,"The Tribez",31117,0.93,11,655,2715,291787
,"Paradise Island 2",14047,1.61,16,214,852,52935
,"Mystery Manor",153,1.342,9,6,21,1565
"04.08.2017",,216367,0.949,21,3766,9579,1009661
,"Guns of Boom",64792,0.337,38,2339,1682,498380
,"Airport City",38772,1.263,20,287,1450,114836
,"Mirrors of Albion",16409,2.126,14,140,1196,56264
,"The Tribez",72731,1.374,18,735,3915,285010
,"Paradise Island 2",23458,2.44,18,260,1309,53656
,"Mystery Manor",206,1.782,9,5,27,1515
"05.08.2017",,228537,1.031,19,4174,10796,1046979
,"Guns of Boom",69508,0.496,26,2778,2683,541059
,"Airport City",37503,0.946,20,228,1098,116101
,"Mirrors of Albion",16619,2.006,15,118,1104,55027
,"The Tribez",78242,1.56,17,777,4359,279509
,"Paradise Island 2",26413,2.827,17,267,1523,53872
,"Mystery Manor",253,2.055,10,6,29,1411
"06.08.2017",,206496,0.996,18,4693,10712,1075571
,"Guns of Boom",67722,0.586,21,3162,3249,554829
,"Airport City",37371,0.947,20,304,1142,120599
,"Mirrors of Albion",15700,1.889,14,128,1076,56961
,"The Tribez",61354,1.341,15,798,3845,286783
,"Paradise Island 2",24144,2.506,17,298,1376,54900
,"Mystery Manor",205,1.601,10,3,24,1499
"07.08.2017",,173986,0.888,17,4329,9476,1067379
,"Guns of Boom",63128,0.62,18,3135,3410,549839
,"Airport City",32575,0.748,21,199,887,118610
,"Mirrors of Albion",9934,1.545,11,104,884,57219
,"The Tribez",44659,1.068,15,670,3050,285480
,"Paradise Island 2",23486,2.232,19,218,1222,54758
,"Mystery Manor",204,1.561,10,3,23,1473
"08.08.2017",,161652,0.86,16,4344,9171,1066394
,"Guns of Boom",66548,0.671,18,3133,3636,542019
,"Airport City",37745,0.872,22,304,1068,122507
,"Mirrors of Albion",15550,1.972,14,114,1152,58416
,"The Tribez",31683,0.894,12,591,2556,285947
,"Paradise Island 2",9911,1.319,15,200,737,55883
,"Mystery Manor",217,1.356,11,2,22,1622
"09.08.2017",,161337,1.312,11,4154,13707,1044522
,"Guns of Boom",62202,1.103,11,2937,5756,522061
,"Airport City",34693,0.871,20,302,1065,122221
,"Mirrors of Albion",10426,1.743,10,118,1024,58736
,"The Tribez",42928,1.777,8,589,5063,284964
,"Paradise Island 2",10771,1.4,15,197,768,54850
,"Mystery Manor",315,1.834,11,11,31,1690
"10.08.2017",,163298,1.182,13,4145,12307,1041003
,"Guns of Boom",63968,1.096,11,2728,5667,517279
,"Airport City",34844,1.129,20,476,1392,123348
,"Mirrors of Albion",18537,2.234,15,182,1309,58595
,"The Tribez",32885,1.044,11,577,2986,286133
,"Paradise Island 2",12710,1.69,14,175,913,54013
,"Mystery Manor",353,2.446,10,7,40,1635
"11.08.2017",,321553,1.497,20,4327,15658,1046219
,"Guns of Boom",70001,1.087,12,2616,5723,526398
,"Airport City",140833,3.016,36,701,3828,126920
,"Mirrors of Albion",23579,2.263,18,149,1300,57457
,"The Tribez",74903,1.384,18,651,3893,281239
,"Paradise Island 2",11992,1.674,13,198,881,52614
,"Mystery Manor",246,2.074,9,12,33,1591
"12.08.2017",,253318,1.396,16,4136,14685,1051621
,"Guns of Boom",65180,1.037,12,2486,5587,538709
,"Airport City",73507,1.978,27,568,2511,126932
,"Mirrors of Albion",22618,2.224,18,136,1259,56610
,"The Tribez",75661,1.498,17,699,4137,276251
,"Paradise Island 2",16057,2.248,13,239,1158,51505
,"Mystery Manor",296,2.045,10,8,33,1614
"13.08.2017",,238330,1.321,16,4405,13950,1056340
,"Guns of Boom",60446,1.021,11,2623,5488,537493
,"Airport City",88893,2.261,28,685,2886,127636
,"Mirrors of Albion",16544,1.897,15,142,1101,58032
,"The Tribez",58131,1.224,16,683,3420,279411
,"Paradise Island 2",14139,1.982,13,263,1034,52165
,"Mystery Manor",177,1.31,9,9,21,1603
"14.08.2017",,190239,1.128,14,3725,11581,1026646
,"Guns of Boom",57653,0.981,11,2293,4976,507226
,"Airport City",64663,1.524,22,470,1922,126136
,"Mirrors of Albion",13478,1.805,13,178,1049,58122
,"The Tribez",41472,0.967,15,585,2722,281594
,"Paradise Island 2",12736,1.718,14,196,893,51968
,"Mystery Manor",238,1.188,12,3,19,1600
"15.08.2017",,155041,1.024,14,3621,10531,1028051
,"Guns of Boom",57177,1.018,11,2309,5099,500760
,"Airport City",46345,1.355,21,422,1768,130472
,"Mirrors of Albion",10576,1.532,13,145,904,58996
,"The Tribez",29058,0.695,14,552,1966,282931
,"Paradise Island 2",11741,1.454,16,189,775,53284
,"Mystery Manor",145,1.182,9,4,19,1608
"16.08.2017",,162878,1.276,12,3419,12811,1003733
,"Guns of Boom",55062,1.01,11,2113,4837,478874
,"Airport City",30958,1.013,21,405,1330,131302
,"Mirrors of Albion",13889,1.727,14,147,1006,58239
,"The Tribez",52561,1.76,10,567,4935,280342
,"Paradise Island 2",10071,1.289,15,181,680,52774
,"Mystery Manor",337,1.045,12,6,23,2202
"17.08.2017",,147889,1.111,13,3364,11150,1003265
,"Guns of Boom",57090,1.023,12,2005,4845,473450
,"Airport City",31722,1.021,20,499,1407,137774
,"Mirrors of Albion",9749,1.536,11,134,900,58600
,"The Tribez",40160,1.193,11,546,3323,278577
,"Paradise Island 2",8858,1.236,14,177,649,52503
,"Mystery Manor",310,1.101,19,3,26,2361
"18.08.2017",,224530,1.369,16,3675,13904,1015385
,"Guns of Boom",59313,1.014,12,1997,4868,480033
,"Airport City",40456,1.34,19,523,1901,141845
,"Mirrors of Albion",11249,1.823,11,144,1059,58086
,"The Tribez",71913,1.531,16,754,4297,280587
,"Paradise Island 2",40989,3.302,23,249,1736,52577
,"Mystery Manor",610,1.905,16,8,43,2257
"19.08.2017",,228346,1.398,16,3968,14371,1027728
,"Guns of Boom",59904,1.014,12,2155,5001,493179
,"Airport City",37596,1.33,19,561,1889,142024
,"Mirrors of Albion",23792,2.443,19,173,1398,57226
,"The Tribez",64633,1.452,15,785,4067,280109
,"Paradise Island 2",41995,3.73,21,285,1976,52971
,"Mystery Manor",426,1.803,12,9,40,2219
"20.08.2017",,214965,1.325,15,4024,13813,1042117
,"Guns of Boom",56990,0.974,12,2115,4817,494437
,"Airport City",43973,1.403,20,632,2033,144885
,"Mirrors of Albion",19897,2.189,17,160,1293,59062
,"The Tribez",62078,1.377,16,836,3963,287736
,"Paradise Island 2",31630,3.105,19,273,1671,53824
,"Mystery Manor",397,1.657,12,8,36,2173
"21.08.2017",,180463,1.146,15,3529,11521,1005749
,"Guns of Boom",50480,0.96,11,1958,4427,461149
,"Airport City",28147,0.985,19,490,1389,141073
,"Mirrors of Albion",17179,1.964,16,141,1163,59202
,"The Tribez",45867,0.997,15,706,2876,288378
,"Paradise Island 2",38463,3.028,24,222,1626,53691
,"Mystery Manor",327,1.773,9,12,40,2256
"22.08.2017",,145381,1.076,13,3406,10680,992480
,"Guns of Boom",51351,0.985,11,1881,4434,450346
,"Airport City",36591,1.364,18,618,1931,141535
,"Mirrors of Albion",14473,1.745,14,136,1031,59088
,"The Tribez",32282,0.856,12,597,2447,285862
,"Paradise Island 2",10523,1.53,13,169,818,53478
,"Mystery Manor",161,0.875,9,5,19,2171
"23.08.2017",,162013,1.363,12,3256,13491,989708
,"Guns of Boom",48757,0.949,12,1751,4233,445866
,"Airport City",35690,1.281,19,617,1836,143318
,"Mirrors of Albion",13915,1.496,15,104,884,59076
,"The Tribez",42633,1.704,8,558,4880,286469
,"Paradise Island 2",20766,3.078,12,221,1630,52956
,"Mystery Manor",253,1.384,11,5,28,2023
"24.08.2017",,143354,1.164,12,3190,11490,987012
,"Guns of Boom",48803,0.931,11,1843,4213,452657
,"Airport City",32183,1.145,19,499,1584,138355
,"Mirrors of Albion",14955,1.961,14,114,1137,57986
,"The Tribez",30888,1.145,9,508,3229,282111
,"Paradise Island 2",16349,2.405,13,217,1299,54011
,"Mystery Manor",176,1.48,6,9,28,1892
"25.08.2017",,268694,1.39,19,3376,13643,981667
,"Guns of Boom",57040,1.003,12,2009,4614,459881
,"Trade Island",,0,0,,,4
,"Airport City",110400,2.226,34,530,3012,135308
,"Mirrors of Albion",17647,1.966,16,106,1112,56558
,"The Tribez",63077,1.323,17,542,3633,274659
,"Paradise Island 2",20159,2.31,16,185,1236,53497
,"Mystery Manor",371,2.045,11,4,36,1760
"26.08.2017",,242565,1.355,17,3481,13508,996661
,"Guns of Boom",60182,1,12,2113,4792,479396
,"Trade Island",,0,0,,,1
,"Airport City",70721,1.683,29,484,2234,132745
,"Mirrors of Albion",17300,1.665,17,102,962,57791
,"The Tribez",64715,1.453,16,554,3951,271828
,"Paradise Island 2",29328,2.866,19,219,1525,53214
,"Mystery Manor",319,2.61,8,9,44,1686
"27.08.2017",,218153,1.227,17,3407,12390,1010151
,"Guns of Boom",46734,0.894,11,2085,4344,486130
,"Trade Island",,0,0,,,1
,"Airport City",75560,1.77,30,460,2321,131104
,"Mirrors of Albion",12644,1.467,14,107,867,59083
,"The Tribez",62576,1.327,16,556,3681,277349
,"Paradise Island 2",20401,2.088,18,190,1143,54751
,"Mystery Manor",238,1.962,8,9,34,1733
"28.08.2017",,142699,1.016,14,3055,10085,992996
,"Guns of Boom",49433,0.91,11,1952,4283,470796
,"Trade Island",,0,0,,,2
,"Airport City",17525,0.673,18,339,882,131057
,"Mirrors of Albion",13028,1.862,11,145,1081,58053
,"The Tribez",43716,0.995,15,471,2761,277487
,"Paradise Island 2",18738,1.95,19,146,1052,53947
,"Mystery Manor",260,1.572,12,2,26,1654
"29.08.2017",,128195,0.964,13,3302,9692,1004990
,"Guns of Boom",51554,0.957,11,2078,4558,476298
,"Trade Island",,0,0,,,3
,"Airport City",26314,0.971,20,436,1296,133539
,"Mirrors of Albion",13132,1.835,11,105,1078,58744
,"The Tribez",25996,0.697,13,528,1957,280834
,"Paradise Island 2",10965,1.445,14,151,779,53924
,"Mystery Manor",234,1.456,11,4,24,1648
"30.08.2017",,158135,1.306,11,3627,13369,1023330
,"Guns of Boom",54930,0.963,11,2179,4648,482745
,"Trade Island",,0,0,,,3
,"Airport City",26720,1.127,17,525,1518,134726
,"Mirrors of Albion",24027,2.224,17,107,1293,58138
,"The Tribez",44011,1.784,8,659,5204,291780
,"Paradise Island 2",8285,1.249,12,152,678,54286
,"Mystery Manor",163,1.695,7,5,28,1652
"31.08.2017",,152846,1.16,12,3632,11821,1019299
,"Guns of Boom",58726,1.006,12,2255,4830,480009
,"Trade Island",,0,0,,,18
,"Airport City",25462,0.978,18,490,1321,135035
,"Mirrors of Albion",20476,1.877,18,117,1087,57915
,"The Tribez",38802,1.349,10,634,3915,290252
,"Paradise Island 2",9100,1.175,14,136,640,54447
,"Mystery Manor",280,1.725,12,,28,1623
"01.09.2017",,235228,1.41,16,3901,14206,1007207
,"Guns of Boom",63367,1.057,12,2295,5077,480315
,"Trade Island",,0,0,,,60
,"Airport City",46905,1.762,18,599,2330,132262
,"Mirrors of Albion",21632,2.049,17,115,1168,56992
,"The Tribez",79102,1.546,17,712,4372,282788
,"Paradise Island 2",23748,2.317,19,176,1233,53226
,"Mystery Manor",474,1.662,22,4,26,1564
"02.09.2017",,231592,1.447,15,4069,14995,1036126
,"Guns of Boom",60927,1.021,12,2324,5125,502027
,"Trade Island",,0,0,,,20
,"Airport City",37467,1.448,19,523,1910,131949
,"Mirrors of Albion",17942,2.031,14,138,1184,58292
,"The Tribez",75626,1.515,16,817,4360,287852
,"Paradise Island 2",39354,4.378,16,263,2387,54528
,"Mystery Manor",276,1.989,12,4,29,1458
"03.09.2017",,208310,1.354,14,4135,14213,1049751
,"Guns of Boom",61141,0.989,12,2311,5002,505995
,"Trade Island",,0,0,,,12
,"Airport City",38226,1.43,19,560,1911,133600
,"Mirrors of Albion",12648,1.895,11,147,1151,60750
,"The Tribez",67466,1.464,15,867,4290,292989
,"Paradise Island 2",28590,3.342,15,247,1834,54877
,"Mystery Manor",240,1.636,11,3,25,1528
"04.09.2017",,173113,1.219,14,3651,12282,1007952
,"Guns of Boom",52286,1.005,11,2211,4733,470744
,"Trade Island",,0,0,,,26
,"Airport City",21783,0.821,20,330,1065,129777
,"Mirrors of Albion",14924,1.781,13,126,1068,59966
,"The Tribez",53070,1.236,14,783,3616,292458
,"Paradise Island 2",30876,3.338,17,199,1783,53412
,"Mystery Manor",174,1.083,12,2,17,1569
"05.09.2017",,139589,1.03,13,3374,10190,989010
,"Guns of Boom",53914,1.01,12,2046,4556,451201
,"Trade Island",,0,0,,,21
,"Airport City",25009,0.965,19,377,1255,130003
,"Mirrors of Albion",10795,1.479,12,118,884,59779
,"The Tribez",35477,0.816,14,662,2393,293316
,"Paradise Island 2",14214,2.039,13,170,1085,53210
,"Mystery Manor",180,1.149,12,1,17,1480
"06.09.2017",,146596,1.114,13,3236,10931,981577
,"Guns of Boom",51464,0.989,12,1929,4399,444829
,"Trade Island",,0,0,,,20
,"Airport City",24120,0.975,18,404,1248,127938
,"Mirrors of Albion",18789,1.764,17,124,1049,59475
,"The Tribez",37604,1.121,11,642,3306,294858
,"Paradise Island 2",14396,1.722,16,132,912,52974
,"Mystery Manor",224,1.146,16,5,17,1483
"07.09.2017",,143653,1.09,13,3197,10658,977667
,"Guns of Boom",53330,0.988,12,1913,4360,441297
,"Trade Island",,0,0,,,15
,"Airport City",25577,0.893,21,375,1163,130239
,"Mirrors of Albion",14065,1.737,13,98,1021,58772
,"The Tribez",37431,1.121,11,650,3297,294202
,"Paradise Island 2",12867,1.523,16,157,787,51664
,"Mystery Manor",383,2.03,15,4,30,1478
"08.09.2017",,297679,1.505,19,3465,14745,979494
,"Guns of Boom",55936,1.01,12,1931,4499,445593
,"Trade Island",,0,0,,,13
,"Airport City",110239,2.33,33,510,3113,133605
,"Mirrors of Albion",23612,2,18,109,1160,57989
,"The Tribez",84603,1.595,17,704,4610,289009
,"Paradise Island 2",22952,2.588,17,206,1342,51857
,"Mystery Manor",337,1.471,19,5,21,1428
"09.09.2017",,269595,1.513,17,3866,15466,1022243
,"Guns of Boom",59356,1.007,12,2108,4851,481610
,"Trade Island",,0,0,,,2
,"Airport City",65513,1.671,27,517,2292,137134
,"Mirrors of Albion",27548,2.176,21,137,1269,58323
,"The Tribez",82968,1.618,17,868,4719,291592
,"Paradise Island 2",33869,4.422,14,232,2307,52172
,"Mystery Manor",340,1.986,15,4,28,1410
"10.09.2017",,250165,1.414,17,4005,14570,1030602
,"Guns of Boom",55830,0.985,12,2134,4769,484408
,"Trade Island",,0,0,,,5
,"Airport City",73629,1.84,27,595,2542,138125
,"Mirrors of Albion",25156,2.047,18,126,1231,60139
,"The Tribez",68569,1.438,16,879,4229,293992
,"Paradise Island 2",26765,3.38,15,269,1775,52510
,"Mystery Manor",217,1.687,11,2,24,1423
"11.09.2017",,155555,1.138,14,3357,11010,967077
,"Guns of Boom",47091,0.976,11,1946,4256,436203
,"Trade Island",,0,0,,,12
,"Airport City",22164,0.726,22,362,947,130434
,"Mirrors of Albion",15481,1.747,15,97,1021,58458
,"The Tribez",50617,1.208,14,740,3501,289931
,"Paradise Island 2",19972,2.48,16,208,1257,50690
,"Mystery Manor",230,2.076,10,4,28,1349
"12.09.2017",,119082,0.944,12,3245,9265,981783
,"Guns of Boom",47967,0.94,11,1927,4248,451948
,"Trade Island",,0,0,,,13
,"Airport City",26848,0.978,20,368,1251,127900
,"Mirrors of Albion",10247,1.582,11,114,933,58994
,"The Tribez",27101,0.748,12,665,2181,291768
,"Paradise Island 2",6815,1.289,10,170,642,49824
,"Mystery Manor",104,0.749,12,1,10,1336
"13.09.2017",,137984,1.088,12,3242,10627,976881
,"Guns of Boom",51244,0.965,12,1983,4317,447524
,"Trade Island",,0,0,,,21
,"Airport City",24803,0.962,20,388,1235,128411
,"Mirrors of Albion",15294,1.693,14,112,995,58760
,"The Tribez",37714,1.172,10,604,3410,291028
,"Paradise Island 2",8795,1.308,13,153,651,49777
,"Mystery Manor",133,1.397,9,2,19,1360
"14.09.2017",,137615,1.082,13,3227,10467,967165
,"Guns of Boom",51632,0.994,12,2012,4388,441265
,"Trade Island",,0,0,,,19
,"Airport City",24644,0.937,24,388,1213,129450
,"Mirrors of Albion",13962,1.831,13,104,1050,57339
,"The Tribez",35613,1.055,11,559,3042,288359
,"Paradise Island 2",11479,1.501,15,162,741,49356
,"Mystery Manor",286,2.397,10,2,33,1377
"15.09.2017",,221921,1.403,16,3443,13607,969505
,"Guns of Boom",53760,1.017,12,1991,4572,449647
,"Trade Island",,0,0,,,13
,"Airport City",34118,1.3,23,435,1660,127736
,"Mirrors of Albion",17691,2.127,14,98,1191,56007
,"The Tribez",78112,1.564,17,717,4473,285953
,"Paradise Island 2",38020,3.449,22,202,1685,48858
,"Mystery Manor",220,2.014,10,,26,1291
"16.09.2017",,230486,1.405,16,3733,14299,1017480
,"Guns of Boom",55244,0.983,11,2141,4845,493049
,"Trade Island",,0,0,,,5
,"Airport City",31531,1.173,20,438,1514,129092
,"Mirrors of Albion",27708,2.543,20,112,1428,56146
,"The Tribez",75493,1.588,16,790,4567,287645
,"Paradise Island 2",40099,3.808,21,249,1911,50188
,"Mystery Manor",412,2.509,14,3,34,1355
"17.09.2017",,208975,1.316,15,3768,13538,1028827
,"Guns of Boom",52335,0.914,11,2091,4523,495099
,"Trade Island",,0,0,,,3
,"Airport City",33450,1.238,20,494,1601,129315
,"Mirrors of Albion",22454,2.091,19,117,1202,57475
,"The Tribez",70078,1.56,15,810,4597,294707
,"Paradise Island 2",30351,3.114,19,250,1585,50895
,"Mystery Manor",306,2.251,12,6,30,1333
"18.09.2017",,174396,1.237,14,3183,11793,953530
,"Guns of Boom",45475,0.975,10,1833,4232,433889
,"Trade Island",,0,0,,,15
,"Airport City",28575,1.043,22,355,1279,122595
,"Mirrors of Albion",20308,2.052,16,115,1147,55898
,"The Tribez",45469,1.275,12,685,3701,290319
,"Paradise Island 2",34311,2.851,24,191,1412,49522
,"Mystery Manor",259,1.703,14,4,22,1292
"19.09.2017",,146818,1.071,13,3219,10554,985578
,"Guns of Boom",53625,1.04,11,1933,4835,464928
,"Trade Island",4,10.526,2,2,2,19
,"Airport City",37002,1.391,21,439,1728,124245
,"Mirrors of Albion",16856,1.869,15,97,1059,56658
,"The Tribez",30746,0.829,12,572,2392,288603
,"Paradise Island 2",8243,1.05,16,176,523,49825
,"Mystery Manor",343,1.154,30,,15,1300
"20.09.2017",,150856,1.241,12,3120,12295,990409
,"Guns of Boom",50878,0.961,11,1835,4528,471375
,"Trade Island",8,1.105,4,1,2,181
,"Airport City",32206,1.315,19,447,1634,124268
,"Mirrors of Albion",16122,2.101,12,142,1190,56637
,"The Tribez",39335,1.433,9,504,4117,287345
,"Paradise Island 2",12055,1.62,15,190,799,49331
,"Mystery Manor",253,1.965,12,1,25,1272
"21.09.2017",,145720,1.177,12,3282,11759,999127
,"Guns of Boom",52340,0.98,11,2065,4726,482091
,"Trade Island",,0,0,,,283
,"Airport City",31709,1.168,21,366,1467,125566
,"Mirrors of Albion",12608,1.932,11,134,1091,56478
,"The Tribez",36703,1.277,10,535,3638,284880
,"Paradise Island 2",12070,1.691,15,181,821,48546
,"Mystery Manor",291,1.247,21,1,16,1283
"22.09.2017",,278621,1.362,18,3471,14543,1067598
,"Guns of Boom",55544,0.892,11,2122,4939,553711
,"Trade Island",,0,0,,,410
,"Airport City",119363,2.687,33,524,3418,127204
,"Mirrors of Albion",12855,1.756,12,97,989,56332
,"The Tribez",70702,1.457,17,518,4087,280592
,"Paradise Island 2",19946,2.285,18,209,1099,48092
,"Mystery Manor",211,0.875,24,1,11,1257
"23.09.2017",,240065,1.181,16,3987,14127,1195973
,"Guns of Boom",61403,0.798,11,2587,5425,679654
,"Trade Island",7,0.651,2,2,3,461
,"Airport City",69634,1.85,28,498,2415,130568
,"Mirrors of Albion",19794,1.98,16,141,1117,56421
,"The Tribez",70030,1.389,17,544,3875,279017
,"Paradise Island 2",18959,2.602,15,212,1265,48608
,"Mystery Manor",239,2.17,10,3,27,1244
"24.09.2017",,234174,1.162,15,4670,14474,1245279
,"Guns of Boom",63754,0.825,10,3156,5981,725081
,"Trade Island",1,0.23,1,1,1,434
,"Airport City",76603,2.062,27,603,2701,131015
,"Mirrors of Albion",18876,1.856,17,106,1065,57370
,"The Tribez",58455,1.302,16,589,3656,280882
,"Paradise Island 2",16269,2.128,15,210,1048,49241
,"Mystery Manor",216,1.752,12,5,22,1256
"25.09.2017",,147207,0.942,13,4183,11106,1178934
,"Guns of Boom",60126,0.845,10,3117,5688,672963
,"Trade Island",1,0.465,1,2,2,430
,"Airport City",20662,0.868,19,405,1071,123392
,"Mirrors of Albion",14792,1.641,15,95,922,56198
,"The Tribez",38200,0.925,15,426,2562,277022
,"Paradise Island 2",13043,1.733,17,136,826,47676
,"Mystery Manor",383,2.793,12,2,35,1253
"26.09.2017",,138119,0.991,11,4701,12133,1224429
,"Guns of Boom",61288,0.93,9,3516,6546,704238
,"Trade Island",,0.278,0,,1,360
,"Airport City",27736,1.19,18,413,1462,122853
,"Mirrors of Albion",12626,1.527,15,73,866,56704
,"The Tribez",28481,0.954,10,553,2779,291447
,"Paradise Island 2",7683,0.939,17,142,447,47629
,"Mystery Manor",306,2.671,11,4,32,1198
"27.09.2017",,139671,0.981,11,4630,12246,1248222
,"Guns of Boom",63240,0.892,10,3352,6446,722574
,"Trade Island",12,0.185,9,,1,542
,"Airport City",25734,1.186,17,447,1468,123797
,"Mirrors of Albion",12900,1.543,13,98,878,56912
,"The Tribez",28868,0.949,10,578,2808,295786
,"Paradise Island 2",8709,1.304,14,147,618,47409
,"Mystery Manor",209,2.246,9,8,27,1202
"28.09.2017",,140828,0.949,12,4199,12051,1270078
,"Guns of Boom",57025,0.799,10,2992,5975,747618
,"Trade Island",3,0.165,4,,1,606
,"Airport City",25589,1.067,19,415,1310,122769
,"Mirrors of Albion",13730,1.56,15,90,883,56591
,"The Tribez",32592,1.009,11,564,2962,293464
,"Paradise Island 2",11657,1.882,13,138,900,47810
,"Mystery Manor",233,1.639,13,,20,1220
"29.09.2017",,227713,1.259,14,4618,15256,1211560
,"Guns of Boom",78431,1.012,11,3236,7036,695556
,"Trade Island",4,0.484,1,1,3,620
,"Airport City",38783,1.507,21,480,1840,122103
,"Mirrors of Albion",20569,1.961,17,109,1100,56091
,"The Tribez",68020,1.371,16,602,3942,287578
,"Paradise Island 2",21750,2.722,16,186,1319,48455
,"Mystery Manor",156,1.383,11,4,16,1157
"30.09.2017",,236112,1.266,14,5237,16071,1269511
,"Guns of Boom",81758,1.034,11,3666,7679,742628
,"Trade Island",113,0.46,36,2,3,652
,"Airport City",32850,1.312,19,506,1681,128156
